geneid	gene_name	proteinid	protein_size	protein_desc
ENSG00000131791	PRKAB2	ENSP00000254101	272	5'-AMP-activated protein kinase subunit beta-2; Non-catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators. Also acts as a reg [...] 
ENSG00000131778	CHD1L	ENSP00000358262	897	Chromodomain-helicase-DNA-binding protein 1-like; DNA helicase which plays a role in chromatin-remodeling following DNA damage. Targeted to sites of DNA damage through interaction with poly(ADP-ribose) and functions to regulate chromatin during DNA repair. Able to catalyze nucleosome sliding in an ATP-dependent manner. Helicase activity is strongly stimulated upon poly(ADP-ribose)-binding; Belongs to the SNF2/RAD54 helicase family
ENSG00000162836	ACP6	ENSP00000463574	428	Lysophosphatidic acid phosphatase type 6; Hydrolyzes lysophosphatidic acid (LPA) containing a medium length fatty acid chain to the corresponding monoacylglycerol. Has highest activity with lysophosphatidic acid containing myristate (C14:0), monounsaturated oleate (C18:1) or palmitate (C16:0), and lower activity with C18:0 and C6:0 lysophosphatidic acid
ENSG00000159164	SV2A	ENSP00000358142	742	Synaptic vesicle glycoprotein 2A; Plays a role in the control of regulated secretion in neural and endocrine cells, enhancing selectively low-frequency neurotransmission. Positively regulates vesicle fusion by maintaining the readily releasable pool of secretory vesicles (By similarity)
ENSG00000143382	ADAMTSL4	ENSP00000358035	1097	ADAMTS-like protein 4; Positive regulation of apoptosis. May facilitate FBN1 microfibril biogenesis; ADAMTS like
ENSG00000143452	HORMAD1	ENSP00000355167	394	HORMA domain-containing protein 1; Plays a key role in meiotic progression. Regulates 3 different functions during meiosis: ensures that sufficient numbers of processed DNA double-strand breaks (DSBs) are available for successful homology search by increasing the steady-state numbers of single-stranded DSB ends. Promotes synaptonemal-complex formation independently of its role in homology search. Plays a key role in the male mid-pachytene checkpoint and the female meiotic prophase checkpoint: required for efficient build-up of ATR activity on unsynapsed chromosome regions, a process be [...] 
ENSG00000143387	CTSK	ENSP00000271651	329	Cathepsin K; Closely involved in osteoclastic bone resorption and may participate partially in the disorder of bone remodeling. Displays potent endoprotease activity against fibrinogen at acid pH. May play an important role in extracellular matrix degradation; Cathepsins
ENSG00000143418	CERS2	ENSP00000271688	380	Ceramide synthase 2; Suppresses the growth of cancer cells. May be involved in sphingolipid synthesis; CERS class homeoboxes
ENSG00000143373	ZNF687	ENSP00000319829	1237	Zinc finger protein 687; May be involved in transcriptional regulation
ENSG00000159377	PSMB4	ENSP00000290541	264	Proteasome subunit beta type-4; Component of the 20S core proteasome complex involved in the proteolytic degradation of most intracellular proteins. This complex plays numerous essential roles within the cell by associating with different regulatory particles. Associated with two 19S regulatory particles, forms the 26S proteasome and thus participates in the ATP-dependent degradation of ubiquitinated proteins. The 26S proteasome plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins that could impair cellular functions, and by removing prot [...] 
ENSG00000143376	SNX27	ENSP00000357836	528	Sorting nexin-27; Involved in the retrograde transport from endosome to plasma membrane, a trafficking pathway that promotes the recycling of internalized transmembrane proteins. Following internalization, endocytosed transmembrane proteins are delivered to early endosomes and recycled to the plasma membrane instead of being degraded in lysosomes. SNX27 specifically binds and directs sorting of a subset of transmembrane proteins containing a PDZ- binding motif at the C-terminus: following interaction with target transmembrane proteins, associates with the retromer complex, preventing e [...] 
ENSG00000159445	THEM4	ENSP00000357804	240	Acyl-coenzyme A thioesterase THEM4; Has acyl-CoA thioesterase activity towards medium and long-chain (C14 to C18) fatty acyl-CoA substrates, and probably plays an role in mitochondrial fatty acid metabolism. Plays a role in the apoptotic process, possibly via its regulation of AKT1 activity. According to PubMed:11598301, inhibits AKT1 phosphorylation and activity. According to PubMed:17615157, enhances AKT1 activity by favoring its phosphorylation and translocation to plasma membrane
ENSG00000197915	HRNR	ENSP00000357791	2850	Hornerin; Component of the epidermal cornified cell envelopes; Belongs to the S100-fused protein family
ENSG00000143631	FLG	ENSP00000357789	4061	Filaggrin; Aggregates keratin intermediate filaments and promotes disulfide-bond formation among the intermediate filaments during terminal differentiation of mammalian epidermis; EF-hand domain containing
ENSG00000186844	LCE1A	ENSP00000334869	110	Late cornified envelope protein 1A; Precursors of the cornified envelope of the stratum corneum
ENSG00000203784	LELP1	ENSP00000357736	98	Late cornified envelope like proline rich 1; Belongs to the cornifin (SPRR) family
ENSG00000143556	S100A7	ENSP00000357712	101	S100 calcium binding protein A7; EF-hand domain containing
ENSG00000196154	S100A4	ENSP00000357705	101	S100 calcium binding protein A4; EF-hand domain containing
ENSG00000188643	S100A16	ENSP00000357693	103	Protein S100-A16; Calcium-binding protein. Binds one calcium ion per monomer. Can promote differentiation of adipocytes (in vitro) (By similarity). Overexpression in preadipocytes increases their proliferation, enhances adipogenesis and reduces insulin-stimulated glucose uptake (By similarity); Belongs to the S-100 family
ENSG00000160741	CRTC2	ENSP00000357622	693	CREB-regulated transcription coactivator 2; Transcriptional coactivator for CREB1 which activates transcription through both consensus and variant cAMP response element (CRE) sites. Acts as a coactivator, in the SIK/TORC signaling pathway, being active when dephosphorylated and acts independently of CREB1 'Ser-133' phosphorylation. Enhances the interaction of CREB1 with TAF4. Regulates gluconeogenesis as a component of the LKB1/AMPK/TORC2 signaling pathway. Regulates the expression of specific genes such as the steroidogenic gene, StAR. Potent coactivator of PPARGC1A and inducer of mit [...] 
ENSG00000143552	NUP210L	ENSP00000357547	1888	Nuclear pore membrane glycoprotein 210-like; Nucleoporin 210 like; Belongs to the NUP210 family
ENSG00000143515	ATP8B2	ENSP00000357475	1223	Phospholipid-transporting ATPase ID; Catalytic component of a P4-ATPase flippase complex which catalyzes the hydrolysis of ATP coupled to the transport of aminophospholipids from the outer to the inner leaflet of various membranes and ensures the maintenance of asymmetric distribution of phospholipids. Phospholipid translocation seems also to be implicated in vesicle formation and in uptake of lipid signaling molecules (Probable); Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
ENSG00000163239	TDRD10	ENSP00000357465	366	Tudor domain-containing protein 10; RNA binding motif containing
ENSG00000143603	KCNN3	ENSP00000481848	746	Small conductance calcium-activated potassium channel protein 3; Forms a voltage-independent potassium channel activated by intracellular calcium. Activation is followed by membrane hyperpolarization. Thought to regulate neuronal excitability by contributing to the slow component of synaptic afterhyperpolarization. The channel is blocked by apamin; Potassium calcium-activated channels
ENSG00000160685	ZBTB7B	ENSP00000406286	573	Zinc finger and BTB domain-containing protein 7B; Transcription regulator that acts as a key regulator of lineage commitment of immature T-cell precursors. Necessary and sufficient for commitment of CD4 lineage, while its absence causes CD8 commitment. Development of immature T-cell precursors (thymocytes) to either the CD4 helper or CD8 killer T-cell lineages correlates precisely with their T-cell receptor specificity for major histocompatibility complex class II or class I molecules, respectively. Transcriptional repressor of the collagen COL1A1 and COL1A2 genes. May also function as [...] 
ENSG00000179085	DPM3	ENSP00000357384	122	Dolichol-phosphate mannosyltransferase subunit 3; Stabilizer subunit of the dolichol-phosphate mannose (DPM) synthase complex; tethers catalytic subunit DPM1 to the ER
ENSG00000160752	FDPS	ENSP00000349078	419	Farnesyl pyrophosphate synthase; Key enzyme in isoprenoid biosynthesis which catalyzes the formation of farnesyl diphosphate (FPP), a precursor for several classes of essential metabolites including sterols, dolichols, carotenoids, and ubiquinones. FPP also serves as substrate for protein farnesylation and geranylgeranylation. Catalyzes the sequential condensation of isopentenyl pyrophosphate with the allylic pyrophosphates, dimethylallyl pyrophosphate, and then with the resultant geranylpyrophosphate to the ultimate product farnesyl pyrophosphate
ENSG00000116539	ASH1L	ENSP00000376204	2964	Histone-lysine N-methyltransferase ASH1L; Histone methyltransferase specifically methylating 'Lys- 36' of histone H3 (H3K36me); Bromodomain containing
ENSG00000173080	RXFP4	ENSP00000357301	374	Relaxin-3 receptor 2; High affinity receptor for INSL5. Also acts as receptor for RLN3/relaxin-3, as well as bradykinin and kallidin. Binding of the ligand inhibit cAMP accumulation; Belongs to the G-protein coupled receptor 1 family
ENSG00000196189	SEMA4A	ENSP00000357268	761	Semaphorin-4A; Cell surface receptor for PLXNB1, PLXNB2, PLXNB3 and PLXND1 that plays an important role in cell-cell signaling. Plays a role in priming antigen-specific T-cells, promotes differentiation of Th1 T-helper cells, and thereby contributes to adaptive immunity. Promotes phosphorylation of TIMD2. Inhibits angiogenesis. Promotes axon growth cone collapse. Inhibits axonal extension by providing local signals to specify territories inaccessible for growing axons (By similarity); Semaphorins
ENSG00000132692	BCAN	ENSP00000331210	911	Brevican core protein; May play a role in the terminally differentiating and the adult nervous system during postnatal development. Could stabilize interactions between hyaluronan (HA) and brain proteoglycans; C-type lectin domain containing
ENSG00000143314	MRPL24	ENSP00000354525	216	Mitochondrial ribosomal protein L24; Belongs to the universal ribosomal protein uL24 family
ENSG00000163554	SPTA1	ENSP00000357129	2419	Spectrin alpha chain, erythrocytic 1; Spectrin is the major constituent of the cytoskeletal network underlying the erythrocyte plasma membrane. It associates with band 4.1 and actin to form the cytoskeletal superstructure of the erythrocyte plasma membrane; EF-hand domain containing
ENSG00000179639	FCER1A	ENSP00000357097	257	High affinity immunoglobulin epsilon receptor subunit alpha; Binds to the Fc region of immunoglobulins epsilon. High affinity receptor. Responsible for initiating the allergic response. Binding of allergen to receptor-bound IgE leads to cell activation and the release of mediators (such as histamine) responsible for the manifestations of allergy. The same receptor also induces the secretion of important lymphokines; Immunoglobulin like domain containing
ENSG00000243284	VSIG8	ENSP00000357080	414	V-set and immunoglobulin domain containing 8; IgCAM CXADR-related subfamily
ENSG00000143315	PIGM	ENSP00000357069	423	GPI mannosyltransferase 1; Mannosyltransferase involved in glycosylphosphatidylinositol-anchor biosynthesis. Transfers the first alpha-1,4-mannose to GlcN-acyl-PI during GPI precursor assembly; Belongs to the PIGM family
ENSG00000162729	IGSF8	ENSP00000357065	613	Immunoglobulin superfamily member 8; May play a key role in diverse functions ascribed to CD81 and CD9 such as oocytes fertilization or hepatitis C virus function. May regulate proliferation and differentiation of keratinocytes. May be a negative regulator of cell motility: suppresses T-cell mobility coordinately with CD81, associates with CD82 to suppress prostate cancer cell migration, regulates epidermoid cell reaggregation and motility on laminin-5 with CD9 and CD81 as key linkers. May also play a role on integrin- dependent morphology and motility functions. May participate in the [...] 
ENSG00000018625	ATP1A2	ENSP00000354490	1020	Sodium/potassium-transporting ATPase subunit alpha-2; This is the catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of sodium and potassium ions across the plasma membrane. This action creates the electrochemical gradient of sodium and potassium, providing the energy for active transport of various nutrients; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IIC subfamily
ENSG00000132681	ATP1A4	ENSP00000357060	1029	Sodium/potassium-transporting ATPase subunit alpha-4; This is the catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of sodium and potassium ions across the plasma membrane. This action creates the electrochemical gradient of sodium and potassium ions, providing the energy for active transport of various nutrients. Plays a role in sperm motility; ATPase Na+/K+ transporting subunits
ENSG00000122223	CD244	ENSP00000357012	370	Natural killer cell receptor 2B4; Heterophilic receptor of the signaling lymphocytic activation molecule (SLAM) family; its ligand is CD48. SLAM receptors triggered by homo- or heterotypic cell-cell interactions are modulating the activation and differentiation of a wide variety of immune cells and thus are involved in the regulation and interconnection of both innate and adaptive immune response. Activities are controlled by presence or absence of small cytoplasmic adapter proteins, SH2D1A/SAP and/or SH2D1B/EAT-2. Acts as activating natural killer (NK) cell receptor. Activating functi [...] 
ENSG00000215845	TSTD1	ENSP00000388293	115	Thiosulfate:glutathione sulfurtransferase; Thiosulfate:glutathione sulfurtransferase (TST) required to produce glutathione persulfide (GSS(-)), a central intermediate in hydrogen sulfide metabolism. Provides the link between the first step in mammalian H(2)S metabolism performed by the sulfide:quinone oxidoreductase (SQOR) which catalyzes the conversion of H(2)S to thiosulfate, and the sulfur dioxygenase (SDO) which uses GSS(-) as substrate. The thermodynamic coupling of the irreversible SDO and reversible TST reactions provides a model for the physiologically relevant reaction with th [...] 
ENSG00000143226	FCGR2A	ENSP00000271450	317	Low affinity immunoglobulin gamma Fc region receptor II-a; Binds to the Fc region of immunoglobulins gamma. Low affinity receptor. By binding to IgG it initiates cellular responses against pathogens and soluble antigens. Promotes phagocytosis of opsonized antigens; CD molecules
ENSG00000081721	DUSP12	ENSP00000356920	340	Dual specificity protein phosphatase 12; Dual specificity phosphatase; can dephosphorylate both phosphotyrosine and phosphoserine or phosphothreonine residues. Can dephosphorylate glucokinase (in vitro) (By similarity). Has phosphatase activity with the synthetic substrate 6,8-difluoro-4- methylumbelliferyl phosphate and other in vitro substrates; Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily
ENSG00000185860	C1orf110	ENSP00000356886	302	Coiled-coil domain-containing protein 190; Chromosome 1 open reading frame 110
ENSG00000143149	ALDH9A1	ENSP00000346827	518	4-trimethylaminobutyraldehyde dehydrogenase; Converts gamma-trimethylaminobutyraldehyde into gamma- butyrobetaine. Catalyzes the irreversible oxidation of a broad range of aldehydes to the corresponding acids in an NAD-dependent reaction
ENSG00000143157	POGK	ENSP00000356849	609	Pogo transposable element derived with KRAB domain; DNA transposon derived genes
ENSG00000143195	ILDR2	ENSP00000271417	639	Immunoglobulin-like domain-containing receptor 2; May be involved in lipid homeostasis and ER stress pathways
ENSG00000198842	DUSP27	ENSP00000354483	1158	Inactive dual specificity phosphatase 27; May be required for myofiber maturation
ENSG00000197965	MPZL1	ENSP00000352513	269	Myelin protein zero-like protein 1; Cell surface receptor, which is involved in signal transduction processes. Recruits PTPN11/SHP-2 to the cell membrane and is a putative substrate of PTPN11/SHP-2. Is a major receptor for concanavalin-A (ConA) and is involved in cellular signaling induced by ConA, which probably includes Src family tyrosine- protein kinases. Isoform 3 seems to have a dominant negative role; it blocks tyrosine phosphorylation of MPZL1 induced by ConA. Isoform 1, but not isoform 2 and isoform 3, may be involved in regulation of integrin-mediated cell motility; V-set dom [...] 
ENSG00000143199	ADCY10	ENSP00000356825	1610	Adenylate cyclase type 10; Catalyzes the formation of the signaling molecule cAMP. May function as sensor that mediates responses to changes in cellular bicarbonate and CO(2) levels. Has a critical role in mammalian spermatogenesis by producing the cAMP which regulates cAMP-responsive nuclear factors indispensable for sperm maturation in the epididymis. Induces capacitation, the maturational process that sperm undergo prior to fertilization (By similarity). Involved in ciliary beat regulation; Adenylate cyclases
ENSG00000143147	GPR161	ENSP00000441039	549	G-protein coupled receptor 161; Key negative regulator of Shh signaling, which promotes the processing of GLI3 into GLI3R during neural tube development. Recruited by TULP3 and the IFT-A complex to primary cilia and acts as a regulator of the PKA-dependent basal repression machinery in Shh signaling by increasing cAMP levels, leading to promote the PKA-dependent processing of GLI3 into GLI3R and repress the Shh signaling. In presence of SHH, it is removed from primary cilia and is internalized into recycling endosomes, preventing its activity and allowing activation of the Shh signalin [...] 
ENSG00000143155	TIPRL	ENSP00000356807	272	TIP41-like protein; May be a allosteric regulator of serine/threonine- protein phosphatase 2A (PP2A). Isoform 1 inhibits catalytic activity of the PP2A(D) core complex in vitro. The PP2A(C):TIPRL complex does not show phosphatase activity. Acts as negative regulator of serine/threonine-protein phosphatase 4 probably by inhibiting the formation of the active PPP4C:PPP4R2 complex; the function is proposed to implicate it in DNA damage response by promoting H2AFX phosphorylated on Ser-140 (gamma-H2AFX). May play a role in the regulation of ATM/ATR signaling pathway controlling DNA replica [...] 
ENSG00000143153	ATP1B1	ENSP00000356790	303	Sodium/potassium-transporting ATPase subunit beta-1; This is the non-catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane. The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane; ATPase Na+/K+ transporting subunits
ENSG00000143156	NME7	ENSP00000356785	376	Nucleoside diphosphate kinase 7; Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate; Cilia and flagella associated
ENSG00000117477	CCDC181	ENSP00000356780	509	Coiled-coil domain-containing protein 181; Microtubule-binding protein that localizes to the microtubular manchette of elongating spermatids; Belongs to the CCDC181 family
ENSG00000188404	SELL	ENSP00000236147	385	L-selectin; Cell surface adhesion protein. Mediates the adherence of lymphocytes to endothelial cells of high endothelial venules in peripheral lymph nodes. Promotes initial tethering and rolling of leukocytes in endothelia; C-type lectin domain containing
ENSG00000171806	METTL18	ENSP00000307975	372	Histidine protein methyltransferase 1 homolog; Probable histidine methyltransferase
ENSG00000075945	KIFAP3	ENSP00000354560	792	Kinesin-associated protein 3; Involved in tethering the chromosomes to the spindle pole and in chromosome movement. Binds to the tail domain of the KIF3A/KIF3B heterodimer to form a heterotrimeric KIF3 complex and may regulate the membrane binding of this complex (By similarity); Armadillo-like helical domain containing
ENSG00000094975	SUCO	ENSP00000356696	1405	SUN domain-containing ossification factor; Required for bone modeling during late embryogenesis. Regulates type I collagen synthesis in osteoblasts during their postnatal maturation (By similarity)
ENSG00000120334	CENPL	ENSP00000348527	390	Centromere protein L; Constitutive centromere associated network
ENSG00000117601	SERPINC1	ENSP00000356671	464	Antithrombin-III; Most important serine protease inhibitor in plasma that regulates the blood coagulation cascade. AT-III inhibits thrombin, matriptase-3/TMPRSS7, as well as factors IXa, Xa and XIa. Its inhibitory activity is greatly enhanced in the presence of heparin; Serpin peptidase inhibitors
ENSG00000152061	RABGAP1L	ENSP00000251507	815	Rab GTPase-activating protein 1-like; GTP-hydrolysis activating protein (GAP) for small GTPase RAB22A, converting active RAB22A-GTP to the inactive form RAB22A- GDP. Plays a role in endocytosis and intracellular protein transport. Recruited by ANK2 to phosphatidylinositol 3-phosphate (PI3P)-positive early endosomes, where it inactivates RAB22A, and promotes polarized trafficking to the leading edge of the migrating cells. Part of the ANK2/RABGAP1L complex which is required for the polarized recycling of fibronectin receptor ITGA5 ITGB1 to the plasma membrane that enables continuous dir [...] 
ENSG00000235750	KIAA0040	ENSP00000464040	99	Uncharacterized protein KIAA0040; KIAA0040
ENSG00000116183	PAPPA2	ENSP00000356634	1791	Pappalysin-2; Metalloproteinase which specifically cleaves insulin- like growth factor binding protein (IGFBP)-5 at the '163-Ser-|- Lys-164' bond. Shows limited proteolysis toward IGFBP-3; Belongs to the peptidase M43B family
ENSG00000116199	FAM20B	ENSP00000263733	409	Glycosaminoglycan xylosylkinase; Responsible for the 2-O-phosphorylation of xylose in the glycosaminoglycan-protein linkage region of proteoglycans thereby regulating the amount of mature GAG chains. Sulfated glycosaminoglycans (GAGs), including heparan sulfate and chondroitin sulfate, are synthesized on the so-called common GAG- protein linkage region (GlcUAbeta1-3Galbeta1-3Galbeta1-4Xylbeta1- O-Ser) of core proteins, which is formed by the stepwise addition of monosaccharide residues by the respective specific glycosyltransferases. Xylose 2-O-phosphorylation may influence the catalyt [...] 
ENSG00000186283	TOR3A	ENSP00000356599	397	Torsin-3A; Minor histocompatibility antigens
ENSG00000162782	TDRD5	ENSP00000406052	1035	Tudor domain-containing protein 5; Required during spermiogenesis to participate in the repression transposable elements and prevent their mobilization, which is essential for the germline integrity. Probably acts via the piRNA metabolic process, which mediates the repression of transposable elements during meiosis by forming complexes composed of piRNAs and Piwi proteins and govern the methylation and subsequent repression of transposons. Required for chromatoid body (CB) assembly (By similarity); Tudor domain containing
ENSG00000116260	QSOX1	ENSP00000356574	747	Sulfhydryl oxidase 1; Catalyzes the oxidation of sulfhydryl groups in peptide and protein thiols to disulfides with the reduction of oxygen to hydrogen peroxide. May contribute to disulfide bond formation in a variety of secreted proteins. In fibroblasts, it may have tumor- suppressing capabilities being involved in growth regulation; Belongs to the quiescin-sulfhydryl oxidase (QSOX) family
ENSG00000135821	GLUL	ENSP00000307900	373	Glutamine synthetase; This enzyme has 2 functions: it catalyzes the production of glutamine and 4-aminobutanoate (gamma-aminobutyric acid, GABA), the latter in a pyridoxal phosphate-independent manner (By similarity). Essential for proliferation of fetal skin fibroblasts; Belongs to the glutamine synthetase family
ENSG00000116698	SMG7	ENSP00000425133	1178	Protein SMG7; Plays a role in nonsense-mediated mRNA decay. Recruits UPF1 to cytoplasmic mRNA decay bodies. Together with SMG5 is thought to provide a link to the mRNA degradation machinery involving exonucleolytic pathways, and to serve as an adapter for UPF1 to protein phosphatase 2A (PP2A), thereby triggering UPF1 dephosphorylation
ENSG00000116701	NCF2	ENSP00000356505	526	Neutrophil cytosol factor 2; NCF2, NCF1, and a membrane bound cytochrome b558 are required for activation of the latent NADPH oxidase (necessary for superoxide production); Tetratricopeptide repeat domain containing
ENSG00000162704	ARPC5	ENSP00000294742	154	Actin-related protein 2/3 complex subunit 5; Functions as component of the Arp2/3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
ENSG00000198756	COLGALT2	ENSP00000354960	626	Procollagen galactosyltransferase 2; Beta-galactosyltransferase that transfers beta-galactose to hydroxylysine residues of collagen; Belongs to the glycosyltransferase 25 family
ENSG00000116406	EDEM3	ENSP00000318147	932	ER degradation-enhancing alpha-mannosidase-like protein 3; Involved in endoplasmic reticulum-associated degradation (ERAD). Accelerates the glycoprotein ERAD by proteasomes, by catalyzing mannose trimming from Man8GlcNAc2 to Man7GlcNAc2 in the N-glycans. Seems to have alpha 1,2-mannosidase activity (By similarity)
ENSG00000121481	RNF2	ENSP00000356480	336	E3 ubiquitin-protein ligase RING2; E3 ubiquitin-protein ligase that mediates monoubiquitination of 'Lys-119' of histone H2A (H2AK119Ub), thereby playing a central role in histone code and gene regulation. H2AK119Ub gives a specific tag for epigenetic transcriptional repression and participates in X chromosome inactivation of female mammals. May be involved in the initiation of both imprinted and random X inactivation (By similarity). Essential component of a Polycomb group (PcG) multiprotein PRC1-like complex, a complex class required to maintain the transcriptionally repressive state  [...] 
ENSG00000116750	UCHL5	ENSP00000356425	329	Ubiquitin carboxyl-terminal hydrolase isozyme L5; Protease that specifically cleaves 'Lys-48'-linked polyubiquitin chains. Deubiquitinating enzyme associated with the 19S regulatory subunit of the 26S proteasome. Putative regulatory component of the INO80 complex; however is inactive in the INO80 complex and is activated by a transient interaction of the INO80 complex with the proteasome via ADRM1
ENSG00000000971	CFH	ENSP00000356399	1231	Complement factor H; Factor H functions as a cofactor in the inactivation of C3b by factor I and also increases the rate of dissociation of the C3bBb complex (C3 convertase) and the (C3b)NBB complex (C5 convertase) in the alternative complement pathway
ENSG00000116785	CFHR3	ENSP00000356395	330	Complement factor H-related protein 3; Might be involved in complement regulation
ENSG00000143355	LHX9	ENSP00000356357	397	LIM/homeobox protein Lhx9; Involved in gonadal development; LIM class homeoboxes
ENSG00000118193	KIF14	ENSP00000356319	1648	Kinesin-like protein KIF14; Microtubule motor protein that binds to microtubules with high affinity through each tubulin heterodimer and has an ATPase activity (By similarity). Plays a role in many processes like cell division, cytokinesis and also in cell proliferation and apoptosis. During cytokinesis, targets to central spindle and midbody through its interaction with PRC1 and CIT respectively. Regulates cell growth through regulation of cell cycle progression and cytokinesis. During cell cycle progression acts through SCF-dependent proteasomal ubiquitin-dependent protein catabolic  [...] 
ENSG00000118197	DDX59	ENSP00000330460	619	Probable ATP-dependent RNA helicase DDX59; Zinc fingers HIT-type; Belongs to the DEAD box helicase family. DDX59 subfamily
ENSG00000232237	ASCL5	ENSP00000472681	206	Achaete-scute homolog 5; Achaete-scute family bHLH transcription factor 5; Basic helix-loop-helix proteins
ENSG00000116857	TMEM9	ENSP00000356301	186	Transmembrane protein 9; May be involved in intracellular transport
ENSG00000134369	NAV1	ENSP00000356265	1877	Neuron navigator 1; May be involved in neuronal migration
ENSG00000163431	LMOD1	ENSP00000356257	600	Leiomodin-1; Mediates nucleation of actin filaments; Belongs to the tropomodulin family
ENSG00000134375	TIMM17A	ENSP00000356256	171	Mitochondrial import inner membrane translocase subunit Tim17-A; Essential component of the TIM23 complex, a complex that mediates the translocation of transit peptide-containing proteins across the mitochondrial inner membrane
ENSG00000176393	RNPEP	ENSP00000295640	650	Aminopeptidase B; Exopeptidase which selectively removes arginine and/or lysine residues from the N-terminus of several peptide substrates including Arg(0)-Leu-enkephalin, Arg(0)-Met-enkephalin and Arg(- 1)-Lys(0)-somatostatin-14. Can hydrolyze leukotriene A4 (LTA-4) into leukotriene B4 (LTB-4) (By similarity)
ENSG00000170075	GPR37L1	ENSP00000356251	481	Prosaposin receptor GPR37L1; Receptor for the neuroprotective and glioprotective factor prosaposin. Ligand binding induces endocytosis, followed by an ERK phosphorylation cascade; G protein-coupled receptors, Class A orphans
ENSG00000143862	ARL8A	ENSP00000272217	186	ADP-ribosylation factor-like protein 8A; May play a role in lysosomes motility. Alternatively, may play a role in chromosome segregation (By similarity); Belongs to the small GTPase superfamily. Arf family
ENSG00000133067	LGR6	ENSP00000356247	967	Leucine-rich repeat-containing G-protein coupled receptor 6; Receptor for R-spondins that potentiates the canonical Wnt signaling pathway and acts as a marker of multipotent stem cells in the epidermis. Upon binding to R-spondins (RSPO1, RSPO2, RSPO3 or RSPO4), associates with phosphorylated LRP6 and frizzled receptors that are activated by extracellular Wnt receptors, triggering the canonical Wnt signaling pathway to increase expression of target genes. In contrast to classical G-protein coupled receptors, does not activate heterotrimeric G-proteins to transduce the signal. May act as [...] 
ENSG00000117139	KDM5B	ENSP00000356234	1544	Lysine-specific demethylase 5B; Histone demethylase that demethylates 'Lys-4' of histone H3, thereby playing a central role in histone code. Does not demethylate histone H3 'Lys-9' or H3 'Lys-27'. Demethylates trimethylated, dimethylated and monomethylated H3 'Lys-4'. Acts as a transcriptional corepressor for FOXG1B and PAX9. Favors the proliferation of breast cancer cells by repressing tumor suppressor genes such as BRCA1 and HOXA5. In contrast, may act as a tumor suppressor for melanoma. Represses the CLOCK-ARNTL/BMAL1 heterodimer-mediated transcriptional activation of the core clock [...] 
ENSG00000163444	TMEM183A	ENSP00000356211	376	Transmembrane protein 183A
ENSG00000143847	PPFIA4	ENSP00000272198	701	Liprin-alpha-4; May regulate the disassembly of focal adhesions. May localize receptor-like tyrosine phosphatases type 2A at specific sites on the plasma membrane, possibly regulating their interaction with the extracellular environment and their association with substrates (By similarity); Belongs to the liprin family. Liprin-alpha subfamily
ENSG00000143850	PLEKHA6	ENSP00000272203	1048	Pleckstrin homology domain containing A6
ENSG00000133056	PIK3C2B	ENSP00000356155	1634	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta; Phosphorylates PtdIns and PtdIns4P with a preference for PtdIns. Does not phosphorylate PtdIns(4,5)P2. May be involved in EGF and PDGF signaling cascades; Belongs to the PI3/PI4-kinase family
ENSG00000133069	TMCC2	ENSP00000350718	709	Transmembrane and coiled-coil domains protein 2; May be involved in the regulation of the proteolytic processing of the amyloid precursor protein (APP) possibly also implicating APOE; Transmembrane and coiled-coil domain containing
ENSG00000163545	NUAK2	ENSP00000356125	628	NUAK family SNF1-like kinase 2; Stress-activated kinase involved in tolerance to glucose starvation. Induces cell-cell detachment by increasing F-actin conversion to G-actin. Expression is induced by CD95 or TNF-alpha, via NF-kappa-B. Protects cells from CD95-mediated apoptosis and is required for the increased motility and invasiveness of CD95- activated tumor cells. Able to phosphorylate 'Ser-464' of LATS1
